,Team,Season,DefensiveStrength
0,ARI,2018,26.5625
1,ARI,2019,27.625
2,ARI,2020,22.9375
3,ARI,2021,18.363636363636363
4,ATL,2018,26.4375
5,ATL,2019,24.9375
6,ATL,2020,25.875
7,ATL,2021,28.8
8,BAL,2018,17.9375
9,BAL,2019,17.625
10,BAL,2020,18.9375
11,BAL,2021,23.0
12,BUF,2018,23.375
13,BUF,2019,16.1875
14,BUF,2020,23.4375
15,BUF,2021,16.545454545454547
16,CAR,2018,23.875
17,CAR,2019,29.375
18,CAR,2020,25.125
19,CAR,2021,20.0
20,CHI,2018,17.6875
21,CHI,2019,18.625
22,CHI,2020,23.125
23,CHI,2021,23.09090909090909
24,CIN,2018,28.4375
25,CIN,2019,26.25
26,CIN,2020,26.5
27,CIN,2021,21.6
28,CLE,2018,24.5
29,CLE,2019,24.5625
30,CLE,2020,26.1875
31,CLE,2021,22.818181818181817
32,DAL,2018,20.25
33,DAL,2019,20.0625
34,DAL,2020,29.5625
35,DAL,2021,22.727272727272727
36,DEN,2018,21.8125
37,DEN,2019,19.75
38,DEN,2020,27.875
39,DEN,2021,18.3
40,DET,2018,22.5
41,DET,2019,26.4375
42,DET,2020,32.4375
43,DET,2021,26.272727272727273
44,GB,2018,25.0
45,GB,2019,19.5625
46,GB,2020,23.0625
47,GB,2021,19.454545454545453
48,HOU,2018,19.75
49,HOU,2019,24.0625
50,HOU,2020,29.0
51,HOU,2021,27.1
52,IND,2018,21.5
53,IND,2019,23.3125
54,IND,2020,22.625
55,IND,2021,22.272727272727273
56,JAX,2018,19.75
57,JAX,2019,24.8125
58,JAX,2020,30.75
59,JAX,2021,26.2
60,KC,2018,26.3125
61,KC,2019,19.25
62,KC,2020,22.625
63,KC,2021,22.727272727272727
64,LAC,2018,20.5625
65,LAC,2019,21.5625
66,LAC,2020,26.625
67,LAC,2021,26.5
68,LAR,2018,24.0
69,LAR,2019,22.75
70,LAR,2020,18.5
71,LAR,2021,22.7
72,LV,2018,29.1875
73,LV,2019,26.1875
74,LV,2020,29.875
75,LV,2021,26.818181818181817
76,MIA,2018,27.0625
77,MIA,2019,30.875
78,MIA,2020,21.125
79,MIA,2021,24.454545454545453
80,MIN,2018,21.3125
81,MIN,2019,18.9375
82,MIN,2020,29.6875
83,MIN,2021,24.2
84,NE,2018,20.3125
85,NE,2019,14.0625
86,NE,2020,22.0625
87,NE,2021,16.09090909090909
88,NO,2018,22.0625
89,NO,2019,21.3125
90,NO,2020,21.0625
91,NO,2021,22.636363636363637
92,NYG,2018,25.75
93,NYG,2019,28.1875
94,NYG,2020,22.3125
95,NYG,2021,24.6
96,NYJ,2018,27.5625
97,NYJ,2019,22.4375
98,NYJ,2020,28.5625
99,NYJ,2021,32.0
100,PHI,2018,21.75
101,PHI,2019,22.125
102,PHI,2020,26.125
103,PHI,2021,23.636363636363637
104,PIT,2018,22.5
105,PIT,2019,18.9375
106,PIT,2020,19.5
107,PIT,2021,22.6
108,SEA,2018,21.6875
109,SEA,2019,24.875
110,SEA,2020,23.1875
111,SEA,2021,20.9
112,SF,2018,27.1875
113,SF,2019,19.375
114,SF,2020,24.375
115,SF,2021,22.2
116,TB,2018,29.0
117,TB,2019,28.0625
118,TB,2020,22.1875
119,TB,2021,22.2
120,TEN,2018,18.9375
121,TEN,2019,20.6875
122,TEN,2020,27.4375
123,TEN,2021,23.09090909090909
124,WAS,2018,22.4375
125,WAS,2019,27.1875
126,WAS,2020,20.5625
127,WAS,2021,26.7
